p53 	 NDMm 	 NDMst 	 PTEN 	 time 
160	52	54	100	5.931999999999999
161	52	54	100	5.938799999999999
161	51	54	100	5.997499999999999
162	51	54	100	6.026799999999999
163	51	54	100	6.074899999999999
163	51	53	100	6.096199999999999
163	50	53	100	6.114499999999999
164	50	53	100	6.127699999999999
164	49	53	100	6.131099999999999
164	49	52	100	6.292499999999999
164	49	51	100	6.299099999999998
164	49	50	100	6.309999999999999
164	49	49	100	6.420899999999999
164	48	49	100	6.4449999999999985
165	48	49	100	6.471899999999999
165	47	49	100	6.483599999999999
165	46	49	100	6.4998
165	46	48	100	6.5245999999999995
166	46	48	100	6.549499999999999
167	46	48	100	6.781999999999999
167	46	47	100	6.887099999999999
168	46	47	100	6.93
168	46	46	100	7.2063999999999995
168	45	46	100	7.2097
168	44	46	100	7.376399999999999
169	44	46	100	7.3968
169	44	45	100	7.661099999999999
169	44	44	100	7.6735
169	43	44	100	7.712899999999999
169	43	43	100	7.7394
170	43	43	100	7.7981
170	43	42	100	7.867
171	43	42	100	7.9352
171	42	42	100	8.0719
171	41	42	100	8.073599999999999
171	40	42	100	8.188199999999998
172	40	42	100	8.202899999999998
172	39	42	100	8.319999999999999
172	39	41	100	8.347199999999999
173	39	41	100	8.4909
173	38	41	100	8.4911
173	37	41	100	8.5456
173	36	41	100	8.5791
173	36	40	100	8.6326
173	36	39	100	8.7985
173	35	39	100	9.110700000000001
174	35	39	100	9.163900000000002
174	35	38	100	9.234900000000001
174	35	37	100	9.4074
175	35	37	100	9.4085
175	34	37	100	9.4421
175	34	36	100	9.629199999999999
175	34	35	100	9.656999999999998
175	34	34	100	9.669799999999999
175	34	33	100	9.748299999999999
176	34	33	100	9.783399999999999
176	33	33	100	9.820199999999998
177	33	33	100	9.945199999999998
178	33	33	100	9.965299999999997
178	32	33	100	9.982399999999997
179	32	33	100	9.987199999999996
179	31	33	100	10.083699999999997
180	31	33	100	10.335799999999997
180	30	33	100	10.381599999999997
181	30	33	100	10.441699999999997
182	30	33	100	10.468699999999997
182	30	32	100	10.495399999999997
183	30	32	100	10.570299999999996
183	29	32	100	10.597199999999996
184	29	32	100	10.610699999999996
184	28	32	100	10.636399999999997
185	28	32	100	10.659299999999996
186	28	32	100	10.694799999999997
186	28	31	100	10.858099999999997
186	28	30	100	10.977199999999996
187	28	30	100	11.058299999999996
187	27	30	100	11.064399999999996
187	27	29	100	11.135599999999995
187	27	28	100	11.218699999999995
188	27	28	100	11.236699999999995
188	27	27	100	11.262099999999995
189	27	27	100	11.278899999999995
190	27	27	100	11.530899999999995
191	27	27	100	11.544599999999996
192	27	27	100	11.567699999999995
192	27	26	100	11.813199999999995
193	27	26	100	11.851599999999994
193	26	26	100	11.940999999999994
193	26	25	100	11.959899999999994
194	26	25	100	11.972999999999994
195	26	25	100	12.195499999999994
196	26	25	100	12.229099999999994
197	26	25	100	12.301699999999993
197	26	24	100	12.309199999999993
198	26	24	100	12.467099999999993
199	26	24	100	12.485599999999993
200	26	24	100	12.499699999999992
201	26	24	100	12.528699999999992
201	25	24	100	12.529299999999992
202	25	24	100	12.651499999999992
203	25	24	100	12.706799999999992
203	25	23	100	12.973099999999992
204	25	23	100	13.18689999999999
205	25	23	100	13.21919999999999
206	25	23	100	13.23869999999999
206	24	23	100	13.531899999999991
206	23	23	100	13.656599999999992
206	23	22	100	13.659099999999992
207	23	22	100	13.673099999999991
208	23	22	100	13.84719999999999
209	23	22	100	13.98999999999999
209	23	21	100	14.42109999999999
210	23	21	100	14.42139999999999
210	23	20	100	14.65689999999999
211	23	20	100	14.70629999999999
211	22	20	100	14.89499999999999
211	22	19	100	14.922899999999991
212	22	19	100	15.024899999999992
213	22	19	100	15.083999999999993
214	22	19	100	15.149999999999993
215	22	19	100	15.208199999999993
216	22	19	100	15.225399999999993
216	21	19	100	15.243699999999993
217	21	19	100	15.311499999999993
217	21	18	100	15.441199999999993
218	21	18	100	15.515699999999994
218	21	17	100	15.572399999999993
219	21	17	100	15.602199999999993
220	21	17	100	15.608299999999993
221	21	17	100	15.610399999999993
222	21	17	100	15.611299999999993
222	20	17	100	15.612299999999992
222	19	17	100	15.727299999999993
222	18	17	100	15.819199999999993
223	18	17	100	15.889199999999994
224	18	17	100	16.087499999999995
224	18	16	100	16.184199999999993
225	18	16	100	16.248999999999995
225	17	16	100	16.449899999999996
226	17	16	100	16.482599999999994
227	17	16	100	16.566199999999995
228	17	16	100	16.680199999999996
229	17	16	100	16.858499999999996
229	16	16	100	16.955499999999997
229	16	15	100	17.007899999999996
230	16	15	100	17.038899999999995
230	16	14	100	17.125499999999995
230	16	13	100	17.249499999999994
230	16	12	100	17.260199999999994
231	16	12	100	17.327999999999992
232	16	12	100	17.34059999999999
233	16	12	100	17.58049999999999
234	16	12	100	17.59449999999999
234	15	12	100	17.63519999999999
234	15	11	100	17.65599999999999
234	14	11	100	17.775699999999993
235	14	11	100	17.864299999999993
236	14	11	100	17.947999999999993
237	14	11	100	18.005799999999994
238	14	11	100	18.075599999999994
239	14	11	100	18.107799999999994
240	14	11	100	18.253499999999995
241	14	11	100	18.377899999999997
242	14	11	100	18.429699999999997
243	14	11	100	18.450199999999995
243	13	11	100	18.481199999999994
244	13	11	100	18.536799999999992
245	13	11	100	18.621699999999993
246	13	11	100	18.860399999999995
247	13	11	100	18.919799999999995
248	13	11	100	19.067499999999995
249	13	11	100	19.192099999999996
250	13	11	100	19.377099999999995
251	13	11	100	19.407699999999995
252	13	11	100	19.432199999999995
253	13	11	100	19.504499999999993
253	12	11	100	19.521299999999993
253	11	11	100	19.66359999999999
254	11	11	100	19.698499999999992
255	11	11	100	19.748799999999992
255	10	11	100	19.76169999999999
256	10	11	100	20.03419999999999
257	10	11	100	20.10019999999999
257	9	11	100	20.14229999999999
258	9	11	100	20.164699999999993
259	9	11	100	20.217999999999993
260	9	11	100	20.336799999999993
260	9	10	100	20.414599999999993
261	9	10	100	20.660499999999992
262	9	10	100	20.74619999999999
263	9	10	100	20.85039999999999
264	9	10	100	20.88579999999999
265	9	10	100	21.01509999999999
266	9	10	100	21.06589999999999
266	9	9	100	21.073899999999988
266	8	9	100	21.148599999999988
267	8	9	100	21.21339999999999
268	8	9	100	21.39009999999999
269	8	9	100	21.42109999999999
270	8	9	100	21.465899999999987
271	8	9	100	21.51259999999999
271	8	8	100	21.54729999999999
272	8	8	100	21.547799999999988
273	8	8	100	21.615199999999987
274	8	8	100	21.635199999999987
275	8	8	100	21.738299999999988
276	8	8	100	21.81259999999999
276	8	7	100	21.842199999999988
277	8	7	100	21.88139999999999
278	8	7	100	21.987099999999987
279	8	7	100	22.137799999999988
280	8	7	100	22.27309999999999
281	8	7	100	22.29099999999999
282	8	7	100	22.36629999999999
283	8	7	100	22.47299999999999
284	8	7	100	22.76799999999999
285	8	7	100	22.78609999999999
286	8	7	100	23.00059999999999
287	8	7	100	23.27379999999999
288	8	7	100	23.337199999999992
289	8	7	100	23.41669999999999
289	8	6	100	23.431599999999992
289	8	5	100	23.632699999999993
290	8	5	100	23.736199999999993
291	8	5	100	23.80539999999999
292	8	5	100	23.818799999999992
292	7	5	100	23.925399999999993
292	6	5	100	23.999999999999993
293	6	5	100	24.026899999999994
294	6	5	100	24.105799999999995
295	6	5	100	24.126999999999995
296	6	5	100	24.206099999999996
297	6	5	100	24.390399999999996
297	5	5	100	24.443499999999997
298	5	5	100	24.6349
299	5	5	100	24.8388
300	5	5	100	25.1876
301	5	5	100	25.2251
302	5	5	100	25.2377
303	5	5	100	25.2613
304	5	5	100	25.3586
305	5	5	100	25.4101
306	5	5	100	25.4661
307	5	5	100	25.637600000000003
308	5	5	100	25.645200000000003
308	4	5	100	25.648300000000003
309	4	5	100	25.864000000000004
310	4	5	100	25.913000000000004
311	4	5	100	26.011500000000005
312	4	5	100	26.018900000000006
313	4	5	100	26.131600000000006
314	4	5	100	26.135900000000007
315	4	5	100	26.180200000000006
316	4	5	100	26.230900000000005
317	4	5	100	26.407000000000007
318	4	5	100	26.493000000000006
319	4	5	100	26.527800000000006
320	4	5	100	26.589200000000005
321	4	5	100	26.643400000000007
322	4	5	100	26.780200000000008
323	4	5	100	26.791600000000006
324	4	5	100	26.865100000000005
325	4	5	100	27.133300000000006
326	4	5	100	27.137400000000007
326	3	5	100	27.178400000000007
327	3	5	100	27.183600000000006
328	3	5	100	27.277600000000007
329	3	5	100	27.445900000000005
329	3	4	100	27.566500000000005
329	3	3	100	27.583900000000003
330	3	3	100	27.843500000000002
331	3	3	100	28.0028
332	3	3	100	28.0047
333	3	3	100	28.4931
334	3	3	100	28.6177
335	3	3	100	28.6903
336	3	3	100	28.770500000000002
337	3	3	100	28.823700000000002
338	3	3	100	28.8608
339	3	3	100	28.9208
340	3	3	100	28.9665
341	3	3	100	29.0234
342	3	3	100	29.0339
342	3	2	100	29.0837
343	3	2	100	29.2389
344	3	2	100	29.328200000000002
345	3	2	100	29.3532
346	3	2	100	29.4811
347	3	2	100	29.5655
348	3	2	100	29.7201
349	3	2	100	29.809099999999997
350	3	2	100	29.854699999999998
351	3	2	100	29.8801
352	3	2	100	29.941799999999997
353	3	2	100	30.245199999999997
354	3	2	100	30.301899999999996
355	3	2	100	30.399799999999995
356	3	2	100	30.484399999999994
357	3	2	100	30.511999999999993
358	3	2	100	30.71699999999999
359	3	2	100	30.74659999999999
360	3	2	100	30.93369999999999
361	3	2	100	30.94639999999999
362	3	2	100	31.02299999999999
363	3	2	100	31.05809999999999
364	3	2	100	31.17649999999999
365	3	2	100	31.20779999999999
366	3	2	100	31.236699999999992
367	3	2	100	31.26269999999999
368	3	2	100	31.276299999999992
369	3	2	100	31.39569999999999
370	3	2	100	31.51729999999999
371	3	2	100	31.60189999999999
372	3	2	100	31.63299999999999
373	3	2	100	31.82179999999999
374	3	2	100	31.82269999999999
375	3	2	100	31.84219999999999
376	3	2	100	32.01659999999999
377	3	2	100	32.10659999999999
378	3	2	100	32.120799999999996
379	3	2	100	32.46959999999999
380	3	2	100	32.51299999999999
381	3	2	100	32.53699999999999
382	3	2	100	32.57249999999999
383	3	2	100	32.80319999999999
384	3	2	100	32.89999999999999
384	2	2	100	32.90559999999999
384	2	1	100	33.01189999999999
385	2	1	100	33.09589999999999
386	2	1	100	33.23179999999999
387	2	1	100	33.27739999999999
388	2	1	100	33.282
389	2	1	100	33.309
390	2	1	100	33.3187
391	2	1	100	33.6629
392	2	1	100	33.7508
393	2	1	100	33.8407
394	2	1	100	33.8488
395	2	1	100	33.8779
396	2	1	100	33.888299999999994
397	2	1	100	34.009899999999995
398	2	1	100	34.167399999999994
399	2	1	100	34.4175
400	2	1	100	34.578199999999995
401	2	1	100	34.637299999999996
402	2	1	100	34.646499999999996
403	2	1	100	35.1752
404	2	1	100	35.447199999999995
405	2	1	100	35.599
406	2	1	100	35.716499999999996
407	2	1	100	35.8302
408	2	1	100	35.8765
409	2	1	100	35.8957
410	2	1	100	36.0634
411	2	1	100	36.1411
412	2	1	100	36.2108
413	2	1	100	36.2323
414	2	1	100	36.2372
