p53 	 NDMm 	 NDMst 	 PTEN 	 time 
2861242.1085814047	303.29664847459935	1865196.1966187004	14067903.508251775	146470
2861438.1944505963	303.2958292514788	1865196.3952686635	14067914.96277467	146480
2861634.280311528	303.2950104584494	1865196.5938423027	14067926.411530336	146490
2861830.3661641995	303.2941920952794	1865196.7923396535	14067937.854521768	146500
2862026.4520086106	303.29337416173723	1865196.9907607522	14067949.291751958	146510
2862222.537844761	303.2925566575914	1865197.1891056346	14067960.723223899	146520
2862418.6236726497	303.2917395826105	1865197.3873743366	14067972.148940578	146530
2862614.7094922774	303.29092293656333	1865197.5855668944	14067983.568904985	146540
2862810.795303643	303.2901067192188	1865197.7836833436	14067994.983120104	146550
2863006.8811067473	303.2892909303459	1865197.98172372	14068006.391588923	146560
2863202.966901589	303.2884755697138	1865198.1796880595	14068017.794314422	146570
2863399.0526881684	303.2876606370918	1865198.377576398	14068029.191299582	146580
2863595.138466485	303.2868461322493	1865198.5753887712	14068040.582547385	146590
2863791.224236538	303.28603205495585	1865198.7731252152	14068051.96806081	146600
2863987.3099983283	303.2852184049811	1865198.9707857654	14068063.347842831	146610
2864183.395751855	303.2844051820949	1865199.1683704578	14068074.721896425	146620
2864379.4814971173	303.283592386067	1865199.365879328	14068086.090224566	146630
2864575.5672341157	303.2827800166677	1865199.5633124115	14068097.452830225	146640
2864771.6529628495	303.281968073667	1865199.7606697443	14068108.809716374	146650
2864967.7386833187	303.2811565568352	1865199.957951362	14068120.16088598	146660
2865163.824395523	303.2803454659428	1865200.1551573002	14068131.506342012	146670
2865359.910099462	303.2795348007603	1865200.3522875945	14068142.846087437	146680
2865555.995795136	303.2787245610584	1865200.5493422805	14068154.180125218	146690
2865752.0814825436	303.27791474660796	1865200.7463213936	14068165.508458316	146700
2865948.1671616854	303.2771053571799	1865200.9432249698	14068176.831089694	146710
2866144.252832561	303.27629639254525	1865201.1400530443	14068188.148022313	146720
2866340.3384951698	303.27548785247524	1865201.3368056526	14068199.459259128	146730
2866536.424149512	303.2746797367412	1865201.5334828305	14068210.764803097	146740
2866732.5097955866	303.2738720451145	1865201.7300846132	14068222.064657174	146750
2866928.595433394	303.27306477736676	1865201.9266110363	14068233.358824315	146760
2867124.6810629335	303.27225793326966	1865202.1230621352	14068244.64730747	146770
2867320.7666842053	303.27145151259504	1865202.3194379453	14068255.93010959	146780
2867516.8522972087	303.27064551511484	1865202.515738502	14068267.207233623	146790
2867712.9379019435	303.2698399406012	1865202.7119638408	14068278.478682516	146800
2867909.0234984094	303.2690347888262	1865202.908113997	14068289.744459216	146810
2868105.1090866067	303.26823005956226	1865203.1041890057	14068301.004566666	146820
2868301.194666534	303.2674257525818	1865203.3001889025	14068312.25900781	146830
2868497.2802381925	303.2666218676574	1865203.4961137227	14068323.507785587	146840
2868693.3658015807	303.26581840456186	1865203.6919635015	14068334.750902938	146850
2868889.4513566988	303.2650153630679	1865203.8877382742	14068345.9883628	146860
2869085.5369035467	303.26421274294853	1865204.083438076	14068357.22016811	146870
2869281.6224421235	303.2634105439768	1865204.2790629424	14068368.446321802	146880
2869477.7079724297	303.26260876592596	1865204.4746129082	14068379.66682681	146890
2869673.7934944644	303.2618074085693	1865204.6700880087	14068390.881686065	146900
2869869.8790082275	303.26100647168033	1865204.8654882791	14068402.090902498	146910
2870065.964513719	303.2602059550326	1865205.0608137546	14068413.294479037	146920
2870262.0500109387	303.2594058583998	1865205.2560644702	14068424.49241861	146930
